id_registro,data_hora,id_produto,produto,categoria,preco_unitario,estoque_atual,estoque_minimo,vendas_dia,dias_ate_validade
7e6c670f-5360-494a-8d1f-ec395ac0099e,2026-09-24T00:16:03,P003,Leite integral 1L,Laticínios,5.2,72,60,53,1
82ab6133-e11f-4ad5-b41e-19a72a0f67c7,2026-09-24T00:16:03,P007,Peito de frango kg,Açougue,19.6,19,30,27,3
f33a5273-2f08-4d3c-a3c2-aa1177b291f8,2026-09-24T00:16:03,P006,Tomate kg,Hortifrúti,8.62,35,25,47,10
750abfb1-e61e-4688-b56a-51917602e22c,2026-09-24T00:16:03,P002,Feijão 1kg,Mercearia,8.44,82,40,1,349
02dadb8a-09fe-41a7-8eb3-53e6ed157b79,2026-09-24T00:16:03,P005,Banana prata kg,Hortifrúti,6.75,30,35,28,2
11fdce49-3970-4910-8752-b02d8d8c5dbd,2026-09-24T00:16:03,P005,Banana prata kg,Hortifrúti,6.59,53,35,25,3
0cdd997b-4c07-4e85-a273-4287e04b7205,2026-09-24T00:16:03,P009,Refrigerante 2L,Bebidas,9.51,55,50,33,83
b9d8a6a0-b917-465a-9f99-c76344b68bc5,2026-09-24T00:16:03,P006,Tomate kg,Hortifrúti,9.09,65,25,13,3
4eb7c219-04c5-4b84-8c05-95132b1fcce6,2026-09-24T00:16:03,P002,Feijão 1kg,Mercearia,8.83,89,40,20,292
1c55ee07-1641-4460-88e7-bc6f97066838,2026-09-24T00:16:03,P009,Refrigerante 2L,Bebidas,9.28,137,50,65,251
6265af49-dc24-457c-a4d0-c38800aecf42,2026-09-24T00:16:03,P002,Feijão 1kg,Mercearia,8.74,106,40,49,267
96b3ac6c-d6d5-43e6-9f5d-60a54f47a192,2026-09-24T00:16:03,P001,Arroz 5kg,Mercearia,27.4,29,30,10,121
1bf55729-9d11-4e1e-a7cd-c09d0fffc120,2026-09-24T00:16:03,P005,Banana prata kg,Hortifrúti,7.14,29,35,29,4
718bc9bd-b6eb-4b0a-a49f-59e14031f2f4,2026-09-24T00:16:03,P001,Arroz 5kg,Mercearia,28.66,41,30,13,213
a5e2e10b-e650-492c-8483-826217e3db26,2026-09-24T00:16:03,P008,Pão francês kg,Padaria,15.61,58,20,33,4
cb6de9d0-5942-4b35-a05a-6302f1c1b3cf,2026-09-24T00:16:03,P008,Pão francês kg,Padaria,16.75,39,20,36,4
7b30cd9a-4cfe-46ac-8642-5c08cc1d62b3,2026-09-24T00:16:03,P001,Arroz 5kg,Mercearia,29.16,25,30,37,150
f24b37c6-eb20-4c9f-a12c-3d840871a880,2026-09-24T00:16:03,P003,Leite integral 1L,Laticínios,5.05,54,60,10,3
47475485-746c-4f9b-af2f-7a7b65e41cba,2026-09-24T00:16:03,P002,Feijão 1kg,Mercearia,8.84,32,40,52,280
7fa2152c-4104-42ab-9868-f71e04707775,2026-09-24T00:16:03,P007,Peito de frango kg,Açougue,19.49,76,30,37,4
